Mutation Number,Layer Num,Accuracy2,Loss
0,0,0.96722996,0.111659835
1,0,0.9855797,0.059938442
2,0,0.98470503,0.053457515
3,0,0.9862069,0.048482817
4,0,0.9803693,0.06508024
5,0,0.98541,0.050578411
6,0,0.9804291,0.065752866
7,0,0.9828038,0.060232779
8,0,0.9785182,0.086029365
9,0,0.98338675,0.054825871
10,0,0.972643,0.093168525
11,0,0.9838244,0.064656484
12,0,0.9852898,0.050643277
13,0,0.9806565,0.069000284
14,0,0.98501444,0.045843543
15,0,0.987013,0.041802572
16,0,0.9771891,0.073788252
17,0,0.9833892,0.056523694
18,0,0.95579135,0.160354483
19,0,0.9818235,0.064473953
0,1,0.9664952,0.129155262
1,1,0.9689523,0.115361565
2,1,0.9753824,0.093993027
3,1,0.94673514,0.221388989
4,1,0.96989965,0.107345005
5,1,0.95287424,0.222457182
6,1,0.9653523,0.130730097
7,1,0.9536578,0.187156075
8,1,0.9679965,0.109263121
9,1,0.95671815,0.158722736
10,1,0.96926016,0.11907693
11,1,0.96981514,0.122871177
12,1,0.938829,0.247204671
13,1,0.9764068,0.081636604
14,1,0.9443804,0.23511357
15,1,0.9738784,0.087993175
16,1,0.96320826,0.146212755
17,1,0.9714411,0.095207118
18,1,0.94621277,0.180960216
19,1,0.95602465,0.197137197
0,2,0.9886848,0.035082581
1,2,0.9886698,0.035824262
2,2,0.99155134,0.02932727
3,2,0.98928833,0.03401794
4,2,0.9902574,0.035701367
5,2,0.9905165,0.031416374
6,2,0.98825747,0.035927952
7,2,0.98965317,0.038076225
8,2,0.9909396,0.033283538
9,2,0.98863304,0.03663963
10,2,0.9883807,0.034821232
11,2,0.9893125,0.036373082
12,2,0.99038744,0.029012403
13,2,0.9904748,0.033385517
14,2,0.9889049,0.03099662
15,2,0.99040735,0.028675472
16,2,0.98822665,0.036333699
17,2,0.9903832,0.033318124
18,2,0.99086356,0.029955955
19,2,0.9906186,0.032501684
0,3,0.92608374,0.415134982
1,3,0.9408476,0.318450571
2,3,0.9414421,0.305351806
3,3,0.9445341,0.341894336
4,3,0.9143522,0.474271153
5,3,0.92121387,0.446170794
6,3,0.92968976,0.37152226
7,3,0.9315069,0.442895819
8,3,0.9203566,0.407920838
9,3,0.9443311,0.281777478
10,3,0.9199882,0.456777894
11,3,0.9558059,0.281258346
12,3,0.94829595,0.263031149
13,3,0.87236226,0.886755879
14,3,0.92867434,0.406184598
15,3,0.9440673,0.292879854
16,3,0.863429,1.15749307
17,3,0.9555588,0.222955022
18,3,0.94709694,0.258888014
19,3,0.9215773,0.456547361
0,4,0.9886848,0.035082581
1,4,0.9886698,0.035824262
2,4,0.99155134,0.02932727
3,4,0.98928833,0.03401794
4,4,0.9902574,0.035701367
5,4,0.9905165,0.031416374
6,4,0.98825747,0.035927952
7,4,0.98965317,0.038076225
8,4,0.9909396,0.033283538
9,4,0.98863304,0.03663963
10,4,0.9883807,0.034821232
11,4,0.9893125,0.036373082
12,4,0.99038744,0.029012403
13,4,0.9904748,0.033385517
14,4,0.9889049,0.03099662
15,4,0.99040735,0.028675472
16,4,0.98822665,0.036333699
17,4,0.9903832,0.033318124
18,4,0.99086356,0.029955955
19,4,0.9906186,0.032501684
